mu_id,plot,easting,northing,biomass_mg_ha,stems_ha,diameter_cm,basal_area_m2_ha
U18,61,530144.95,4965434.94,167.7,864,8.6,32
U18,62,530194.49,4965471.39,117.61,719,8.4,24.7
U18,63,530245.31,4965504.51,132.68,952,7.9,27.6
C20,11,528324.43,4967437.88,163.18,3426,6.2,32.3
C20,12,528343.7,4967473.73,171.07,4807,6.1,34.6
C20,13,528375.23,4967525.97,111.55,3817,5.1,25.8
C20,21,528378.12,4967409.23,154.26,3360,6.3,31.8
C20,22,528406.03,4967458.68,199.01,2143,7.6,36.9
C20,23,528439.69,4967512.37,135.52,8656,4,33.3
C20,31,528448.26,4967413.54,91.39,7111,4.2,26.8
C20,32,528478.29,4967465.89,110.9,3560,5.4,25.3
C20,33,528497.66,4967499.52,98.96,4469,4.6,24.7
C20,34,528517.02,4967533.82,142.9,6743,4.6,31.8
C20,35,528537.72,4967568.91,120.48,6529,4.2,29.9
C20,41,528507.7,4967355.6,158.44,22095,2.7,44.9
C20,42,528526.98,4967390.67,101.2,5531,4.8,24.7
C20,43,528555.67,4967442.24,96.27,10536,3,28.3
C20,44,528585.69,4967494.47,103.97,15652,2.5,25.4
C20,45,528617.22,4967546.04,98.66,10083,3.2,26.8
C20,51,528542.78,4967338.42,115.99,3570,5.5,25.5
C20,52,528602.92,4967440,102.27,2889,6.1,23.1
C20,53,528622.92,4967473.75,59.57,11150,2.3,15.4
C20,54,528642.99,4967509.5,81.65,15192,2.4,24.3
C20,55,528682.33,4967579.66,123.35,4334,5.4,28.3
C21,13,528872.77,4967309.02,145.15,15658,3.5,41.6
C21,15,528792.57,4967170.13,129.15,7078,5,32.9
C21,23,528796.87,4967374.88,125.42,12011,3.7,38.1
C21,24,528756.81,4967304.72,169.82,19566,3.3,53.1
C21,25,528717.44,4967237.45,145.54,7869,4.8,40.3
C21,31,528779.74,4967546.77,118.5,16944,3.1,35.3
C21,32,528738.89,4967476.6,78.38,7091,4,23.3
C21,33,528698.84,4967404.99,153.12,19538,3.2,47
C21,34,528658.77,4967335.5,131.64,9990,4.3,37.2
C21,35,528619.34,4967266.78,145.9,9046,4.3,40
C22,11,528635.08,4967191.64,57.11,13925,1.7,17.2
C22,12,528602.86,4967135.07,38.69,12030,1.7,15.5
C22,13,528581.44,4967101.43,29.08,10046,1.6,11.3
C22,14,528539.92,4967038.48,34.22,11894,1.4,13.4
C22,21,528481.93,4967251.73,69.01,10204,2.4,20.3
C22,22,528419.63,4967152.25,69.89,14902,1.9,23.5
C22,23,528393.16,4967099.26,88.22,5079,4.1,22.8
C22,24,528372.37,4967064.95,84.35,25795,1.6,29.3
C22,31,528373.77,4967268.24,58.71,9464,2.4,18.5
C22,32,528353.06,4967234.6,99.56,11397,3,28.3
C22,33,528333.7,4967199.53,76.38,13095,2.3,24.6
C22,34,528285.72,4967114.33,37.25,4859,2.8,10.9
C22,41,528341.57,4967330.53,68.83,6555,3.1,19.9
C22,42,528321.57,4967297.56,60.76,5383,3.5,17.8
C22,43,528303.62,4967265.38,107.86,22552,2.3,37.1
C22,44,528242.75,4967164.47,62.45,8544,2.8,19.9
C22,51,528306.47,4967352.04,102.67,9169,3.5,28.3
C22,52,528287.19,4967317.63,113.11,4113,5.3,29.8
C22,53,528249.96,4967249.59,11.57,4205,1.7,4.3
C22,54,528220.56,4967198.03,35.04,12301,1.5,12.5
C23A,33,528814.07,4966973.94,124.24,11638,3.6,35.2
C23A,42,528882.09,4966888.82,82.61,10501,3.1,24.9
C23A,65,528733.09,4967095.33,113.03,10971,3.6,32.7
C23A,71,528893.65,4966779.78,112.22,6214,4.5,29
C23A,73,528796.44,4966800.67,126.43,4447,5.4,31.6
C23A,75,528833.75,4967025.24,102.17,10674,3.5,30
C23A,82,528835.97,4966935.82,102.72,4608,4.9,28
C23A,84,528773.26,4967036.52,101.62,6968,4,29.8
C23B,14,528684.53,4967160.09,148.24,15299,3.4,50.3
C23B,21,528646.55,4966888.1,146.67,4754,5.2,35.9
C23B,22,528684.48,4966957.47,148.05,15074,3.8,50.3
C23B,23,528726.77,4967024.09,171.33,13946,4,55.5
C23B,31,528733.22,4966837.27,146.38,10160,4,43.5
C23B,32,528771.16,4966905.32,156.72,14834,3.7,51.1
C24,11,529003.07,4966730.62,110.58,7306,4.2,29.9
C24,12,529036.78,4966789.98,142.03,4622,5.9,31.6
C24,21,529068.96,4966645.38,103.71,6543,3.9,25.1
C24,22,529109.02,4966715.55,133.94,7193,4.7,30.6
C24,23,529147.74,4966784.26,115.02,15250,3,30.5
C24,24,529187.09,4966853.76,135.99,7454,4.6,31
C24,31,529166.3,4966613.83,149.85,2705,6.6,32.3
C24,32,529204.23,4966682.65,113.37,5088,4.8,25.6
C24,33,529245.79,4966752.05,163.57,1378,8.1,33.6
C24,41,529242.22,4966547.3,95.85,3651,4.9,23.7
C24,42,529277.32,4966614.56,134.87,5218,5.3,32.2
C24,43,529321.71,4966686.86,115.1,2691,6.4,25
U25,11,528675.16,4966797.13,128.65,5567,4.9,27.5
U25,12,528647.27,4966743.46,171.47,5623,5,32.8
U25,13,528617.95,4966691.23,68.75,2443,5.2,15.3
U25,14,528597.88,4966657.6,47.64,2739,4.3,13.2
U25,21,528598.57,4966820.01,93.42,3099,5.4,18.7
U25,22,528559.93,4966749.18,80.06,4361,4,18.5
U25,23,528519.15,4966679.8,73.78,4569,4,17.9
U25,24,528499.07,4966646.83,140.93,6008,4.5,31.1
U25,31,528563.48,4966840.85,86.46,6005,3.8,20.3
U25,32,528542.78,4966804.98,83.89,3275,5,17.6
U25,33,528514.81,4966751.32,108.85,3920,5.3,22.9
U25,34,528484.77,4966699.75,122.4,5739,4.1,26.6
U25,41,528518.43,4966842.98,82.15,3517,4.9,19.1
U25,42,528498.36,4966807.23,108.26,2043,6,23.6
U25,43,528470.46,4966754.23,114.95,6363,4,25.8
U25,44,528441.77,4966703.34,92.93,5986,4,22.5
U25,51,528469.69,4966874.53,74.23,2375,5.1,16.3
U25,52,528441.8,4966822.2,143.98,5162,4.9,25.1
U25,53,528411.77,4966769.19,130.29,2978,5.7,25.3
U25,54,528391.69,4966734.11,141.02,5599,4.3,26.1
U25,61,528410.34,4966931.04,121.21,2800,5.6,22.5
U25,62,528391.69,4966895.18,173.49,1066,9.1,29.1
U25,63,528343.71,4966809.32,106.94,6266,3.9,24.7
U25,64,528313.68,4966757.09,95.63,4720,4.4,23.2
U25,71,528361.59,4966984.03,115.75,6460,3.7,23.7
U25,72,528254.98,4966791.38,117.25,6969,4,28.2
U25,81,528214.89,4966886.63,112.96,6867,3.7,26.2
C27,11,530378.47,4965690.43,124.92,8618,3.4,28.7
C27,12,530414.85,4965670.05,117.18,22570,2.2,36.9
C27,13,530450.03,4965649.78,147.51,6444,5,31.9
C27,14,530487.68,4965627.52,116.61,7499,4.2,27.2
C27,21,530382.37,4965736.22,83.6,7279,3.5,19.6
C27,22,530437.92,4965705.04,102.01,4333,5,22.8
C27,23,530473.57,4965686.77,122.18,7133,4.3,29.4
C27,24,530523.43,4965654.24,134.96,17289,2.7,39.9
C27,31,530449.25,4965815.07,134.35,7872,4.4,34.1
C27,32,530484.13,4965792.47,92.56,11633,2.9,23.3
C27,33,530519.87,4965770.64,139.47,9990,3.7,32
C27,34,530573.13,4965739.9,112.78,16715,2.1,26.7
C27,41,530463.89,4965876.57,114.85,6447,4.4,29.1
C27,42,530499.39,4965857.08,95.46,10410,3.1,24.2
C27,43,530567.71,4965815.86,93.65,9031,3,24.2
C27,51,530480.42,4965907.65,80.08,13533,2.5,22
C27,52,530516.16,4965887.6,126.54,12105,3.3,29.4
C27,53,530571.86,4965857.65,108.68,2188,6.7,23.5
C27,54,530626.45,4965827.91,153.17,9913,3.8,32.6
C27,61,530502.76,4965946.41,120.56,10316,3.3,29.7
C27,62,530556.01,4965915.67,82.84,12957,2.6,22.3
C27,63,530592.86,4965895.41,123.84,14052,2.9,31.7
C27,64,530647.7,4965863.45,109.21,7687,3.9,27.8
C28,11,530794.42,4966446.58,142.41,14187,3.3,34.2
C28,12,530832.05,4966427.43,125.21,7873,4.1,32
C28,21,530754.84,4966379.63,123.43,12613,3.2,30.8
C28,22,530806.74,4966350.33,116.74,6790,4.3,27.8
C28,31,530734.77,4966344.65,169.14,1989,7.8,35.6
C28,32,530787.32,4966313.13,199.11,5454,5.5,40.5
C28,41,530711.55,4966259.56,123.62,11279,3.4,29
C28,42,530746.17,4966242.84,119.46,8209,3.7,26.8
C28,43,530781.43,4966222.35,95.51,4185,4.8,22.8
C28,51,530707.01,4966218.77,154.93,3329,6.4,35
C28,52,530741.95,4966199.27,131.83,10196,3.7,29
C28,53,530777.47,4966174.78,137.71,6132,4.7,29.8
C28,61,530642.68,4966185.47,129.15,3589,5.9,33.2
C28,62,530694.43,4966154.83,106.74,9408,3.6,25.7
C28,63,530730.33,4966133.9,112.04,8128,3.8,25.3
C28,64,530763.61,4966114.4,83.6,8559,3.2,23.2
C28,72,530795.38,4966048.34,106.61,11398,3.1,28.1
C28,81,530745.83,4966031.77,140.82,1083,7.9,30.7
C28,82,530780.78,4966012.28,173.94,7312,5.2,38.1
U3,23,529349.35,4968209.87,79.95,823,6.8,15.5
U3,31,529451.36,4968000.27,96.26,1328,7.4,19.7
U3,32,529378.51,4968071.15,105.67,1215,6.7,20.9
U3,33,529308.29,4968138.14,132.24,1029,8.6,23.9
U3,41,529406.03,4967926.97,88.27,2606,6.8,18.7
U3,42,529335.41,4967994.97,110.97,1245,8,22.9
U3,43,529265.09,4968065.52,156.76,1836,8.7,28.2
U3,44,529191.84,4968137.39,115.36,520,9.1,20.9
U3,51,529281.17,4967882.19,96.9,549,8.4,19.3
U3,52,529207.92,4967954.06,121.45,606,8.6,25
U3,53,529121.52,4968035.65,163.58,1554,7.7,29.8
U3,61,529251.23,4967796.51,114.2,924,7.8,23.1
U3,62,529180.6,4967864.51,130.6,858,8.5,26.4
U3,63,529109.26,4967934.62,213.37,735,10,39
U3,71,529209.85,4967722.23,119.11,639,8.7,21.4
U3,72,529136.98,4967796.55,177.32,886,9,33.6
U3,73,529066.76,4967863.55,225.19,1120,9.6,41.4
U3,81,529083.47,4967732.32,136.67,558,9.5,25.9
U3,82,529008.8,4967804.86,222.71,999,9,44.5
U3,91,528967.1,4967731.68,162.17,880,9,31
C30,11,530688.85,4965736.57,187.28,22049,3.2,53.7
C30,12,530667.43,4965702.92,142.17,9633,4.3,36
C30,13,530646.11,4965667.04,126.07,7507,4.7,32.6
C30,21,530735.01,4965733.79,150.97,5696,5.5,38.3
C30,22,530701.99,4965681.64,186.23,10956,4.5,49.3
C30,31,530768.62,4965713.84,94.56,8411,3.7,28.1
C30,32,530735.21,4965659.25,163,2519,6.8,37.8
C30,41,530820.54,4965681.65,210.51,25752,3.2,66.4
C30,42,530785.94,4965628.94,141.24,7692,4.5,36
C30,51,530845.37,4965644.78,124.22,7998,4.4,31.9
C30,52,530822.79,4965607.9,163.12,21446,2.9,47.8
C30,61,530879.62,4965622.84,171.69,10626,4.5,47.6
C30,71,530901.13,4965553.18,154.97,8054,4.9,41.7
C30,72,530921.88,4965495.96,191.47,12733,4.5,51.6
C30,73,530933.6,4965458.91,126.49,5601,5.1,32.4
C30,74,530946.58,4965421.76,156.44,17513,3.3,43.9
C30,75,530959.33,4965383.39,152.92,11387,4.1,45.7
C30,81,530988.61,4965457.07,156.28,9855,4.3,38.3
C30,82,531000.19,4965417.13,134.81,5879,5,34
C30,83,531013.33,4965379.43,149.49,2502,6.8,35
U31,13,530580.95,4965042.54,121.15,374,10.3,22.6
U31,71,530720.03,4965098.41,70.27,371,8.2,14.6
U31,81,530702.9,4965143.98,165.6,499,10.7,31.5
C4,11,529433.38,4966820.78,90.4,2564,5.4,20.1
C4,14,529223.61,4966938.91,76.3,8617,2.8,23
C4,21,529474.85,4966910.95,111.63,3420,4.4,22.3
C4,22,529377.56,4966967.49,104.23,3643,4.7,23.8
C4,23,529322.35,4966995.46,65.97,8084,2.5,17.8
C4,24,529260.79,4967031.95,92.81,9586,2.8,26.4
C4,31,529494.92,4967013.36,97.17,4467,4,20.4
C4,32,529415.45,4967059.87,63.01,6460,2.6,17.1
C4,33,529363.17,4967089.29,76.22,4984,3.5,19.6
C4,41,529562.19,4967093.54,60.35,2610,4.5,14.2
C4,42,529489.94,4967133.64,81.5,8967,2.6,21.5
C4,43,529419.05,4967172.97,65.03,8250,2.5,19.5
C4,44,529358.21,4967207.35,59.35,9860,2.2,17.9
C6,11,529703.81,4967136.96,44.9,7133,2.5,12.1
C6,12,529631.88,4967178.84,49.58,6299,3.1,12.6
C6,13,529560.1,4967219.72,30.33,3016,2.8,7.6
C6,14,529496.27,4967234.2,24.33,1300,3.8,6.1
C6,15,529426.12,4967318.53,89.84,14887,2.8,31.3
C6,21,529749.64,4967221.6,88.87,2384,7,15.9
C6,22,529678.34,4967263.04,42.32,11657,2.2,14.1
C6,23,529609.1,4967303.6,49.9,322,10,8.9
C6,24,529535.15,4967301.48,67.99,14321,2,18.9
C6,31,529833.26,4967284.75,82.57,7015,2.8,18.7
C6,32,529762.68,4967324.75,91.6,6864,3.6,20.7
C6,33,529692.88,4967365.86,74.72,12184,1.9,18
C6,41,529848.35,4967388.13,89.76,1373,7.5,16.1
C6,42,529776.88,4967430.46,80.98,1670,7.9,15.4
C6,43,529706.22,4967470.45,78.27,9100,3.1,22
C6,51,529911.29,4967462.07,87.03,4939,3.3,16.8
C6,52,529844.01,4967503.86,75.36,4173,4.6,19.4
C6,53,529771.77,4967544.19,89.89,7086,4,21.7
C6,61,529944.19,4967556.76,80.74,13884,1.3,19.1
C6,71,529992.31,4967639.64,91.73,7870,3.4,23.6
C7A,11,528962.97,4967648.35,36.26,623,5.5,9.8
C7A,13,528954.4,4967587.21,39.12,562,5.8,10.2
C7A,16,529008.01,4967648.11,25.1,451,5.4,6.8
C7A,18,529009,4967603.35,18.38,353,5.5,5.7
C7A,2,528809.79,4967664.66,19.65,365,5.5,5.8
C7A,22,529065.13,4967665.03,51.77,835,5.6,13.4
C7A,23,529024.98,4967546.76,5.93,133,5.2,1.9
C7A,28,529108.35,4967664.23,24.26,391,5.5,6.2
C7A,29,529051.3,4967508.78,13.08,255,5.4,3.8
C7A,30,529071.05,4967544.75,28.29,523,5.5,8.1
C7A,31,529123.61,4967609.53,23.56,403,5.6,6.7
C7A,37,529160.13,4967587.7,47.49,917,5.5,14.1
C7A,38,529160.19,4967541.6,49.94,736,5.9,13.4
C7A,4,528846.09,4967691.26,9.21,194,5.2,2.7
C7A,41,529186.82,4967504.4,51.85,879,5.6,14.8
C7A,42,529185.3,4967455.84,55.78,894,5.8,15.8
C7A,46,529256.84,4967465.39,44.06,711,5.7,12.1
C7A,48,529255.84,4967372.52,21.52,379,5.5,6
C7A,50,529292,4967397.45,11.63,266,5.2,3.7
C7A,7,528873.8,4967606.96,60.91,944,5.7,15.9
C7A,9,528923.44,4967620.96,60.7,858,5.8,15.5
U7B,51,529274.05,4967590.77,23.27,449,5.3,6.6
U7B,52,529318.8,4967548.32,20.81,360,5.6,6
U7B,53,529242.43,4967645.51,10.56,203,5.3,2.9
U7B,57,529254.64,4967688.22,20.12,336,5.6,5.4
U7B,60,529358.38,4967618.38,10.56,260,5,3.4
U7B,61,529313.89,4967690.05,15.7,265,5.5,4.2
U7B,64,529358.51,4967676.03,5.98,130,5.3,1.9
U7B,65,529313.39,4967746.25,6.55,119,5.5,1.9
U7B,69,529418.08,4967676.75,20.02,428,5.3,6.2
U7B,70,529357.1,4967759.78,5.88,143,4.9,1.8
U7B,72,529430.53,4967719.02,16.04,255,5.6,4.1
U7B,73,529371.03,4967805.5,25.62,399,5.8,7.2
U7B,76,529430.02,4967778.11,20.87,349,5.5,5.6
U7B,80,529489.79,4967750.39,18.01,350,5.3,5.1
U7B,82,529428.34,4967834.43,17.41,276,5.8,5
U7B,85,529457.83,4967863.67,23.36,459,5.3,6.6
U7B,90,529515.44,4967893.37,9.12,204,5.2,2.8
U7B,92,529488.11,4967944.57,7.75,156,5.3,2.3
U7B,94,529562.93,4967876.37,16.37,290,5.4,4.4
U7B,97,529541.18,4967950.25,9.29,156,5.5,2.5
U7B,98,529587.81,4967910.26,22.79,454,5.2,6.4
U7B,99,529571.02,4967953.5,23.33,445,5.3,6.3
C8,11,529762.02,4967091.02,70.62,13312,2.1,23.6
C8,12,529840.49,4967054.94,42.51,7057,2.1,13
C8,13,529918.71,4967022.65,107.54,8241,3.4,28.5
C8,14,529989.5,4966990.43,89.09,8853,2.9,25.3
C8,21,529854.85,4967162.65,65.4,8797,2.2,17.4
C8,22,529931.56,4967129.91,97.67,7491,3.3,26.3
C8,23,530004.02,4967094.37,71.05,10927,2.1,19.4
C8,31,529906.35,4967250.99,69.55,11982,1.9,18.6
C8,32,529983.06,4967218.24,73.2,9877,2.6,23.9
C8,33,530059.15,4967184.49,63.52,19431,1.6,23.3
C8,41,529920.45,4967361.25,51.54,6743,2.4,13.8
C8,42,529995.44,4967325.61,89.03,14154,2.2,26.1
C8,43,530075,4967291.54,100.15,9025,3.1,28.6
C8,44,530147.14,4967257.33,74.36,9107,2.6,21.8
C8,51,529991.88,4967444.57,90.53,10904,2.6,25.8
C8,52,530070.27,4967408.61,75.32,7757,2.8,20.8
C8,53,530144.31,4967373.41,71.28,9644,2.3,21.1
C8,61,530064.66,4967526.11,71.72,10008,2.5,22.8
C8,62,530133,4967493.77,73.33,7124,3,21
C8,71,530096.74,4967626.35,61.3,7813,2.4,19.1
C8,72,530172.76,4967590.27,70.44,9487,2.4,22.4
C9,11,529720.47,4966576.16,149.08,1952,7.8,28.8
C9,13,529639.34,4966435.26,150.65,4966,5.5,31.2
C9,14,529600.71,4966363.21,140,1284,8.7,25.1
C9,21,529622.03,4966607.25,151.5,5769,5.2,31.3
C9,22,529571.46,4966520.48,74.97,642,8.1,15.3
C9,23,529533,4966447.99,115.29,3941,5.4,24.9
C9,31,529546.02,4966674.66,120.49,5374,4.8,26.8
C9,32,529495.53,4966587.9,126.01,1223,6.9,27.1
C9,33,529454.84,4966517.72,73.56,1902,5.7,16.2
C9,34,529414.32,4966445.67,119.3,2013,6.1,23.4
C9,41,529443.03,4966698.96,189.7,1939,8.1,34.9
C9,43,529376.62,4966584.24,105.83,6659,4.2,26.5
C9,44,529334.51,4966514.84,147.65,827,10,26.9
C90,11,529764.8,4966594.92,120.59,3199,6.3,25.5
C90,12,529825.7,4966701.84,127.45,10388,3.6,29
C90,21,529755.92,4966651.97,100.94,5054,4.6,22.4
C90,31,529776.92,4966775.04,85.43,8699,3.4,24.2
C90,51,529656.16,4966728.38,171.65,1678,8.6,32.8
C91,11,529627.37,4966769.46,116.9,2169,6.7,24.7
C91,21,529615.16,4966828.17,95.97,1338,6.6,21.3
C91,31,529559.21,4966812.7,140.86,1695,7.6,28.9
C91,41,529521.51,4966833.18,82.21,1737,6.5,18.3
C91,42,529544.81,4966869.73,108.37,1221,7.7,22.1
C91,51,529446.69,4966778.85,212.42,1710,7.9,43.1
C92,11,529725.96,4966943.99,78.26,5774,4.1,20.9
C92,21,529732.58,4967033.78,57.96,4960,3.6,16.9
C92,22,529653.41,4966896.33,66.6,1912,5.6,15.9
C92,31,529695.51,4967054.27,53.58,1806,5.5,13
C92,32,529636.72,4966951.25,95.51,2016,6.7,20.6
C92,51,529589.06,4967023.23,71.08,5375,3.9,19.7
C93A,11,529930.99,4966914.62,192.24,1854,7.1,36.2
C93A,12,529871.12,4966806.59,176.9,3381,6.3,37.5
C93B,11,529851.73,4966914.69,145.29,9258,4,39.6
C93B,12,529812.39,4966844.3,110.65,6214,4.3,33.7
C93C,11,529816.27,4966980.07,91.73,5946,4.4,24.4
C93C,12,529754.27,4966872.36,128.63,21010,2.5,40
